PUMA,Name,Region/City,,,,
8302,Santa Barbara County, (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA,,
8303,Santa Barbara County,South Coast Region PUMA,,,,
8501,Santa Clara County, (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA,,,
8502,Santa Clara County, (Northwest)--Sunnyvale & San Jose (North) Cities PUMA,,,,
8503,Santa Clara County, (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA,,,,
8504,Santa Clara County, (North Central)--Milpitas & San Jose (Northeast) Cities PUMA,,,,
8505,Santa Clara County, (North Central)--San Jose City (East Central) & Alum Rock PUMA,,,,
8506,Santa Clara County, (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA,,,
8507,Santa Clara County, (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA,,,
8508,Santa Clara County, (Central)--San Jose (West Central) & Campbell Cities PUMA,,,,
8509,Santa Clara County, (Central)--San Jose City (Northwest) PUMA,,,,
8510,Santa Clara County, (Central)--San Jose City (Central) PUMA,,,,
8511,Santa Clara County, (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA,,,,
8512,Santa Clara County, (Central)--San Jose City (Southwest/Almaden Valley) PUMA,,,,
8513,Santa Clara County, (Central)--San Jose City (Southeast/Evergreen) PUMA,,,,
8514,Santa Clara County, (Central)--San Jose City (East Central/East Valley) PUMA,,,,
8701,Santa Cruz County, (North)--Watsonville & Scotts Valley Cities PUMA,,,,
8702,Santa Cruz County, (South & Coastal)--Santa Cruz City PUMA,,,,
8900,Shasta County,Redding City PUMA,,,,
9501,Solano County, (Southwest)--Vallejo & Benicia Cities PUMA,,,,
9502,Solano County, (Central)--Fairfield & Suisun City Cities PUMA,,,,
9503,Solano County, (Northeast)--Vacaville & Dixon Cities PUMA,,,,
9701,Sonoma County, (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA,,,
9702,Sonoma County, (South)--Petaluma, Rohnert Park & Cotati Cities PUMA,,,
9703,Sonoma County, (Central)--Santa Rosa City PUMA,,,,
9901,Stanislaus County, (Southwest)--Ceres, Patterson & Newman Cities PUMA,,,
9902,Stanislaus County, (Central)--Modesto City (West) PUMA,,,,
9903,Stanislaus County, (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA,,
9904,Stanislaus County, (Central)--Modesto City (East) PUMA,,,,
10100,Sutter & Yuba Counties,,,,,
10701,Tulare County, (Northwest)--Visalia City PUMA,,,,
10702,Tulare County, (West Central)--Tulare & Porterville Cities PUMA,,,,
10703,Tulare County, (Outside Visalia, Tulare & Porterville Cities) PUMA,,,
11101,Ventura County, (Southeast)--Simi Valley City PUMA,,,,
11102,Ventura County, (Southeast)--Thousand Oaks City PUMA,,,,
11103,Ventura County, (Southwest)--Oxnard & Port Hueneme Cities PUMA,,,,
11104,Ventura County, (Southwest)--San Buenaventura (Ventura) City PUMA,,,,
11105,Ventura County, (North)--Santa Paula, Fillmore & Ojai Cities PUMA,,,
11106,Ventura County, (South Central)--Camarillo & Moorpark Cities PUMA,,,,
11300,Yolo County,Davis, Woodland & West Sacramento Cities PUMA,,,
