County,Year,ST,AGEP,FER,GCL,HINS1,JWMNP,JWRIP,JWTR,LANX,MAR,SCH,SCHG,SCHL,WAGP,WKHP,DIS,ESR,OC
San Diego County,2013,6,44,2.0,2.0,1,30.0,1.0,1.0,2.0,3,1.0,,21.0,27000.0,40.0,2,1.0,0
San Diego County,2012,6,9,,,1,,,,1.0,5,2.0,6.0,6.0,,,2,,1
San Diego County,2012,6,34,2.0,2.0,1,20.0,1.0,1.0,1.0,1,3.0,16.0,22.0,120000.0,50.0,2,1.0,0
San Diego County,2016,6,16,,,1,,,,2.0,5,2.0,13.0,13.0,0.0,,2,6.0,1
San Diego County,2013,6,9,,,1,,,,2.0,5,2.0,6.0,6.0,,,2,,1
San Diego County,2013,6,68,,2.0,2,,,,1.0,3,1.0,,21.0,0.0,,2,6.0,0
San Diego County,2015,6,53,,2.0,1,30.0,1.0,1.0,2.0,1,1.0,,19.0,0.0,40.0,1,1.0,0
San Diego County,2016,6,3,,,1,,,,,5,1.0,,1.0,,,2,,1
San Diego County,2016,6,77,,2.0,2,,,,1.0,1,1.0,,21.0,0.0,,1,6.0,0
San Diego County,2015,6,42,2.0,2.0,1,35.0,1.0,1.0,2.0,3,1.0,,22.0,62000.0,50.0,2,1.0,0
San Diego County,2012,6,51,,2.0,1,25.0,1.0,1.0,1.0,1,1.0,,22.0,40000.0,50.0,2,1.0,0
San Diego County,2013,6,49,2.0,2.0,1,6.0,1.0,1.0,2.0,5,1.0,,16.0,90000.0,40.0,2,1.0,0
San Diego County,2014,6,69,,2.0,2,,,,2.0,1,1.0,,22.0,0.0,,2,6.0,0
San Diego County,2016,6,17,2.0,,2,,,,1.0,5,3.0,13.0,14.0,0.0,,2,6.0,1
San Diego County,2013,6,17,2.0,,1,,,,1.0,5,2.0,15.0,16.0,0.0,,2,6.0,1
San Diego County,2015,6,9,,,1,,,,2.0,5,3.0,6.0,6.0,,,2,,1
San Diego County,2015,6,27,,,1,30.0,1.0,1.0,2.0,5,2.0,15.0,19.0,30000.0,40.0,2,1.0,0
San Diego County,2015,6,54,,2.0,1,5.0,1.0,1.0,1.0,5,1.0,,21.0,135000.0,40.0,2,1.0,0
San Diego County,2015,6,46,2.0,2.0,2,,,11.0,2.0,3,1.0,,22.0,3000.0,50.0,2,1.0,0
San Mateo County,2012,6,53,,2.0,1,100.0,2.0,1.0,2.0,1,1.0,,15.0,42500.0,40.0,2,1.0,0
San Mateo County,2012,6,82,,2.0,1,,,,2.0,5,1.0,,18.0,0.0,,1,6.0,0
San Mateo County,2014,6,10,,,1,,,,2.0,5,2.0,7.0,7.0,,,2,,1
San Mateo County,2015,6,29,,,1,20.0,1.0,1.0,1.0,5,1.0,,21.0,35000.0,40.0,2,1.0,0
San Mateo County,2012,6,56,,2.0,1,30.0,1.0,1.0,2.0,1,2.0,16.0,22.0,42000.0,16.0,1,1.0,0
San Mateo County,2013,6,44,2.0,2.0,1,30.0,1.0,1.0,1.0,1,1.0,,21.0,35000.0,40.0,2,1.0,0
San Mateo County,2016,6,8,,,2,,,,1.0,5,2.0,4.0,5.0,,,1,,0
San Mateo County,2014,6,22,,,1,25.0,1.0,1.0,1.0,5,1.0,,21.0,800.0,40.0,2,1.0,0
San Mateo County,2015,6,6,,,1,,,,2.0,5,2.0,2.0,2.0,,,2,,1
San Mateo County,2015,6,16,,,1,,,,2.0,5,3.0,13.0,14.0,0.0,,2,6.0,1
San Mateo County,2016,6,65,,2.0,1,,,,2.0,1,1.0,,19.0,0.0,,1,6.0,0
San Mateo County,2012,6,57,,2.0,1,,,,2.0,1,1.0,,19.0,0.0,,2,6.0,0
San Mateo County,2015,6,75,,2.0,2,30.0,,4.0,1.0,1,1.0,,21.0,0.0,70.0,2,1.0,0
San Mateo County,2016,6,41,2.0,2.0,1,30.0,3.0,1.0,1.0,3,1.0,,19.0,70000.0,40.0,2,1.0,0
San Mateo County,2016,6,75,,2.0,2,,,,1.0,2,1.0,,21.0,0.0,,2,6.0,0
San Mateo County,2014,6,48,2.0,2.0,1,20.0,1.0,1.0,2.0,1,1.0,,19.0,70000.0,40.0,2,1.0,0
San Mateo County,2012,6,45,,2.0,1,10.0,1.0,1.0,2.0,1,1.0,,20.0,55000.0,40.0,2,1.0,0
San Mateo County,2012,6,60,,2.0,1,25.0,,8.0,2.0,1,1.0,,22.0,121000.0,50.0,2,1.0,0
San Mateo County,2015,6,21,,,1,,,,2.0,5,3.0,15.0,19.0,1500.0,16.0,2,6.0,0
San Mateo County,2016,6,10,,,1,,,,2.0,5,2.0,7.0,8.0,,,2,,1
San Mateo County,2014,6,38,,2.0,1,40.0,4.0,1.0,1.0,1,1.0,,21.0,100000.0,40.0,2,1.0,0
San Mateo County,2016,6,60,,2.0,1,40.0,1.0,1.0,2.0,1,1.0,,21.0,50000.0,60.0,2,1.0,0
San Mateo County,2012,6,67,,2.0,2,45.0,1.0,1.0,1.0,1,1.0,,22.0,79000.0,32.0,2,1.0,0
San Mateo County,2013,6,25,,,1,20.0,1.0,1.0,2.0,5,1.0,,16.0,35000.0,40.0,2,1.0,0
San Mateo County,2012,6,21,2.0,,2,60.0,,4.0,2.0,5,2.0,15.0,16.0,3000.0,21.0,2,1.0,0
San Mateo County,2013,6,60,,2.0,1,2.0,1.0,1.0,2.0,1,1.0,,20.0,60000.0,28.0,2,1.0,0
